t	p	T	az	ay	ax	gz	gy	gx	fs
44974	328717	25943	-1944	-49	-331	-159	64	89	0
45006	328717	25942	-1938	-56	-330	-151	70	84	0
45038	328717	25942	-1946	-60	-315	-149	71	88	0
45071	328717	25942	-1945	-59	-322	-148	80	90	0
45103	328717	25943	-1948	-47	-314	-165	81	90	0
45135	328717	25942	-1939	-56	-323	-161	71	85	0
45168	328717	25942	-1947	-56	-335	-148	70	91	0
45200	328717	25944	-1940	-50	-323	-161	67	81	0
45232	328717	25943	-1956	-56	-322	-160	64	80	0
45265	328717	25942	-1948	-53	-323	-158	65	68	0
45297	328717	25942	-1948	-56	-315	-156	77	83	0
45329	328717	25942	-1944	-43	-320	-157	84	78	0
45362	328717	25944	-1941	-55	-307	-162	77	82	0
45394	328717	25943	-1941	-54	-317	-160	71	70	0
45426	328717	25943	-1947	-58	-323	-161	75	79	0
45459	328717	25944	-1956	-57	-316	-164	83	77	0
45491	328717	25942	-1949	-46	-335	-150	64	78	0
45523	328717	25943	-1954	-47	-323	-173	83	93	0
45555	328717	25943	-1954	-52	-324	-161	78	82	0
45588	328717	25944	-1945	-52	-319	-161	74	84	0
45620	328717	25944	-1931	-43	-307	-155	77	88	0
45652	328717	25944	-1932	-45	-322	-158	69	84	0
45685	328717	25943	-1944	-52	-314	-161	82	82	0
45717	328717	25944	-1951	-54	-306	-177	74	77	0
45749	328717	25944	-1945	-61	-331	-161	71	80	0
45782	328717	25943	-1944	-69	-319	-158	73	67	0
45814	328717	25942	-1952	-50	-291	-161	70	83	0
45846	328717	25944	-1939	-63	-326	-167	82	82	0
45879	328717	25944	-1942	-54	-310	-168	73	83	0
45911	328717	25945	-1943	-52	-315	-151	76	85	0
45943	328717	25942	-1943	-65	-317	-155	74	88	0
45976	328717	25943	-1936	-58	-314	-170	74	80	0
46008	328717	25944	-1935	-49	-304	-158	69	86	0
46040	328717	25944	-1935	-56	-314	-160	64	90	0
46073	328717	25943	-1940	-48	-310	-162	82	91	0
46105	328717	25944	-1934	-55	-298	-154	83	83	0
46137	328717	25942	-1944	-60	-311	-161	74	76	0
46170	328717	25944	-1939	-56	-311	-162	80	74	0
46202	328717	25943	-1947	-59	-303	-176	79	83	0
46234	328717	25942	-1944	-60	-316	-157	84	80	0
46267	328717	25943	-1935	-66	-315	-166	76	84	0
46299	328717	25944	-1943	-53	-325	-162	91	79	0
46331	328717	25943	-1953	-46	-319	-152	66	82	0
46364	328717	25943	-1944	-68	-324	-157	72	91	0
46396	328717	25943	-1934	-59	-308	-153	79	89	0
46428	328717	25946	-1929	-59	-304	-161	79	84	0
46461	328717	25944	-1945	-57	-313	-166	75	91	0
46493	328717	25946	-1937	-47	-324	-153	80	86	0
46525	328717	25944	-1945	-51	-311	-153	69	80	0
46558	328717	25944	-1944	-60	-306	-156	77	70	0
46590	328717	25944	-1948	-59	-320	-159	91	74	0
46622	328717	25944	-1937	-55	-317	-168	68	75	0
46655	328717	25944	-1934	-50	-324	-153	83	71	0
46687	328717	25946	-1942	-59	-310	-159	77	86	0
46719	328717	25944	-1936	-61	-297	-167	70	82	0
46752	328717	25944	-1924	-15	-303	-165	64	86	0
46784	328717	25944	-1947	-47	-306	-141	65	86	0
46816	328717	25945	-2012	-72	-328	-197	77	103	0
46849	328717	25943	-2027	-25	-382	-275	79	70	0
46881	328717	25944	-2142	-3	-335	-133	78	103	0
46913	328717	25944	-2099	-65	-344	-172	61	84	0
46946	328717	25947	-1938	-79	-339	-152	49	89	0
46978	328717	25946	-2354	-281	-200	-27	128	86	0
47010	328717	25946	-1794	-107	-327	-227	68	24	0
47043	328717	25944	-2507	-75	-559	-618	230	172	0
47075	328717	25945	-14283	-2063	-817	-2062	-12	-761	1
47107	328717	25944	-2642	-172	-556	-2078	-54	177	0
47140	328717	25944	-4537	-60	-375	-2291	86	189	1
47172	328717	25944	-6787	-281	-498	-4677	124	-7	1
47204	328717	25944	-9452	-356	-187	-3859	183	170	2
47248	328717	25945	-13700	-362	-540	-3432	-304	-129	2
47291	328717	25943	-21325	-796	-360	5466	26	171	2
47334	328717	25944	-22993	-612	-156	32523	-549	-1138	2
47378	328717	25942	-19836	-482	-310	32767	1514	299	2
47421	328717	25944	-18946	-324	-105	29474	3042	188	2
47464	328717	25942	-15783	-277	-57	25728	3606	-376	2
47508	328717	25942	-13981	-204	72	25811	3446	-759	2
47551	328717	25942	-13386	-74	160	26334	2829	-1022	2
47594	328717	25944	-12762	181	226	23378	2124	-502	2
47638	328717	25940	-12347	286	222	17482	1642	635	2
47681	328717	25940	-11349	259	196	11392	1058	2002	2
47724	328717	25940	-10500	91	342	9741	253	2678	2
47767	328717	25939	-9580	37	87	11639	-700	2280	2
47811	328717	25940	-9096	-96	-18	10709	-1723	1644	2
47854	328717	25940	-8867	-176	-227	8472	-2425	603	2
47897	328717	25941	-8811	-161	-540	6043	-2537	-488	2
47941	328717	25939	-8430	-30	-895	2111	-1972	-1333	2
47984	328717	25941	-8430	152	-1025	-4576	-1132	-1914	2
48027	328717	25939	-8358	390	-932	-7364	-249	-1638	2
48071	328717	25940	-8575	411	-956	-5249	336	-665	2
48114	328717	25939	-8215	396	-896	-3504	333	511	2
48157	328717	25939	-8295	246	-886	-3490	151	1389	2
48200	328717	25940	-7850	31	-707	-5231	-361	1119	2
48244	328717	25941	-7369	138	-911	-7582	-1093	229	2
48287	328717	25941	-7205	195	-1022	-9279	-1273	-338	2
48330	328717	25940	-7563	418	-1189	-11800	-1036	-572	2
48374	328717	25941	-7452	524	-1223	-12844	-793	-91	2
48417	328717	25939	-7299	568	-1158	-11395	-348	1017	2
48460	328717	25941	-7331	291	-1235	-11645	-492	1696	2
48504	328717	25940	-7267	210	-1169	-14711	-766	1228	2
48547	328717	25940	-6862	237	-1562	-18373	-998	431	2
48590	328717	25942	-4056	480	-1401	-21438	-863	63	2
48633	328717	25941	205	578	-1450	-18256	-1402	1302	2
48677	328717	25942	1582	468	-1700	-18894	-1679	2107	2
48720	328717	25940	2117	369	-1921	-25477	-1283	1989	2
48763	328717	25940	2211	403	-1885	-31280	-621	1782	2
48807	328717	25939	2181	425	-1751	-32461	-455	2250	2
48850	328717	25940	2101	271	-1486	-30962	-663	2495	2
48893	328717	25941	2018	223	-1484	-29682	-1134	2319	2
48937	328717	25940	2015	280	-1614	-30222	-1132	1809	2
48980	328717	25939	1902	317	-1504	-31177	-832	1639	2
49023	328717	25940	1878	303	-1390	-29264	-851	1994	2
49066	328717	25940	1802	297	-1421	-26468	-1097	2293	2
49110	328717	25940	1783	186	-1340	-26447	-1204	2131	2
49153	328717	25940	1809	174	-1524	-28214	-1114	1873	2
49196	328717	25939	1683	250	-1508	-29907	-803	1771	2
49240	328717	25942	1646	262	-1362	-29554	-671	1939	2
49283	328717	25940	1610	207	-1240	-28577	-913	2205	2
49326	328717	25940	1558	143	-1288	-28074	-1057	2026	2
49370	328717	25942	1500	157	-1317	-28362	-1037	1796	2
49413	328717	25941	1445	255	-1284	-29060	-912	1627	2
49456	328717	25942	1407	199	-1246	-28200	-804	1761	2
49499	328717	25940	1367	174	-1171	-27049	-814	1885	2
49543	328717	25941	1293	236	-1168	-26325	-869	1921	2
49586	328717	25940	1279	161	-1094	-25529	-828	1987	2
49629	328717	25942	1231	160	-1115	-25018	-968	1915	2
49673	328717	25942	1189	109	-1104	-24782	-1012	1844	2
49716	328717	25942	1233	202	-1167	-25819	-949	1688	2
49759	328717	25942	1164	194	-1100	-25376	-800	1805	2
49803	328717	25940	1098	183	-1010	-23929	-815	1970	2
49846	328717	25944	1096	145	-972	-22989	-886	2083	2
49889	328717	25942	1029	170	-1014	-22497	-1026	2010	2
49932	328717	25942	1031	72	-953	-22510	-1020	1900	2
49976	328717	25942	972	127	-1005	-23006	-990	1754	2
50019	328717	25941	932	130	-1001	-23562	-942	1544	2
50062	328717	25940	918	118	-979	-23845	-826	1490	2
50106	328717	25942	875	158	-906	-23235	-742	1549	2
50149	328717	25942	858	120	-884	-21934	-818	1581	2
50192	328717	25942	824	123	-862	-21240	-734	1710	2
50236	328717	25942	817	82	-859	-20666	-789	1683	2
50279	328717	25944	774	61	-843	-20928	-842	1528	2
50322	328717	25942	762	55	-821	-21612	-838	1295	2
50365	328717	25944	748	60	-835	-22090	-778	1196	2
50409	328717	25942	692	73	-812	-22356	-684	1098	2
50452	328717	25943	676	96	-789	-21451	-570	1221	2
50495	328717	25943	651	86	-765	-20269	-593	1404	2
50539	328717	25942	623	78	-747	-19473	-664	1464	2
50582	328717	25944	627	59	-738	-19412	-667	1418	2
50625	328717	25943	584	67	-743	-19436	-670	1439	2
50669	328717	25944	589	53	-739	-19682	-624	1400	2
50712	328717	25943	550	107	-757	-19807	-571	1393	2
50755	328717	25943	525	84	-739	-19466	-477	1489	2
50798	328717	25944	514	53	-672	-18836	-477	1637	3
50842	328717	25944	497	51	-663	-18494	-558	1664	3
50885	328717	25943	482	33	-628	-17828	-646	1669	3
50928	328717	25943	473	50	-644	-17501	-727	1597	3
50972	328717	25944	449	72	-597	-17173	-754	1540	3
51015	328717	25944	446	22	-581	-16466	-815	1580	3
51058	328717	25942	438	33	-568	-15894	-913	1556	3
51102	328717	25944	415	-9	-561	-15771	-971	1397	3
51145	328717	25942	374	23	-574	-15988	-978	1291	3
51188	328717	25942	368	41	-556	-16084	-960	1186	3
51231	328717	25941	360	53	-547	-15517	-940	1183	3
51275	328717	25943	357	38	-552	-14562	-891	1219	3
51318	328717	25944	338	-13	-525	-14546	-870	1238	3
51361	328717	25942	321	17	-557	-15540	-852	1012	3
51405	328717	25944	308	36	-525	-16051	-778	924	3
51448	328717	25944	284	24	-500	-15382	-752	886	3
51491	328717	25943	273	16	-475	-14697	-760	939	3
51535	328717	25943	256	-7	-465	-13967	-759	923	3
51578	328717	25944	248	2	-453	-13369	-820	878	3
51621	328717	25944	235	-14	-484	-13239	-834	784	3
51665	328717	25944	252	-21	-502	-13447	-833	684	3
51708	328717	25945	228	-6	-512	-14183	-713	494	3
51751	328717	25944	217	5	-488	-14624	-585	426	3
51794	328717	25943	204	-13	-480	-14625	-469	377	3
51838	328717	25945	208	13	-499	-14492	-346	366	3
51881	328717	25944	185	12	-494	-14605	-193	406	3
51924	328717	25946	192	29	-498	-14336	-72	499	3
51968	328717	25944	188	-1	-467	-13758	28	628	3
52011	328717	25943	186	-17	-454	-13300	85	742	3
52054	328717	25944	164	10	-454	-13032	108	847	3
52098	328717	25946	153	20	-467	-13046	121	888	3
52141	328717	25945	145	11	-446	-12737	122	968	3
52184	328717	25944	148	5	-434	-12268	157	1087	3
52227	328717	25946	129	9	-400	-11160	116	1234	3
52271	328717	25944	124	16	-405	-10332	51	1340	3
52314	328717	25945	113	25	-393	-9302	-38	1458	3
52357	328717	25946	121	5	-405	-8499	-76	1554	3
52401	328717	25944	98	13	-427	-7776	-145	1626	3
52444	328717	25945	87	10	-426	-7215	-135	1696	3
52487	328717	25944	115	23	-429	-6711	-159	1756	3
52531	328717	25942	114	5	-395	-6065	-168	1821	3
52574	328717	25946	114	9	-390	-5615	-176	1854	3
52617	328717	25944	104	12	-409	-5172	-161	1870	3
52660	328717	25943	103	26	-397	-4716	-193	1904	3
52704	328717	25945	97	31	-421	-3913	-222	1943	3
52747	328717	25944	94	7	-416	-2903	-231	2007	3
52790	328717	25945	94	30	-386	-1709	-226	2055	3
52834	328717	25944	86	20	-397	-734	-176	2120	3
52877	328717	25943	92	26	-392	487	-108	2193	3
52920	328717	25944	88	28	-404	1754	-38	2254	3
52964	328717	25942	82	21	-403	2738	71	2336	3
53007	328717	25944	77	39	-395	3421	201	2385	3
53050	328717	25944	88	48	-434	3881	350	2449	3
53093	328717	25942	86	48	-450	3629	498	2526	3
53137	328717	25942	90	55	-468	2691	640	2649	3
53180	328717	25945	86	67	-468	1878	713	2793	3
53223	328717	25944	84	65	-453	1953	791	2933	3
53267	328717	25944	84	104	-451	2448	913	3001	3
53310	328717	25946	101	166	-435	1479	1065	3069	3
53353	328717	25945	76	228	-406	219	1221	3041	3
53397	328717	25945	74	282	-460	-1524	1248	3011	3
53440	328717	25946	86	312	-498	-3017	1187	2921	3
53483	328717	25946	65	346	-496	-5022	1013	2922	3
53526	328717	25946	64	371	-470	-7084	765	2965	3
53570	328717	25945	60	398	-463	-9344	382	3080	3
53613	328717	25944	71	385	-449	-10648	-99	3257	3
53656	328717	25943	84	426	-436	-10735	-779	3396	3
53700	328717	25944	68	464	-343	-10934	-1331	3427	3
53743	328717	25944	73	471	-128	-10959	-1508	3389	3
53786	328717	25942	63	518	-193	-10685	-1537	3333	3
53830	328717	25944	69	606	-152	-10221	-1777	3116	3
53873	328717	25944	88	408	186	-8077	-1655	3027	3
53916	328717	25942	77	538	30	-3928	-1378	3094	3
53959	328717	25944	94	500	179	-48	-1222	3076	3
54003	328717	25944	95	475	342	3526	-575	3327	3
54046	328717	25944	57	695	45	7188	-70	3424	3
54089	328717	25943	80	844	130	12175	599	3353	3
54133	328717	25942	97	763	60	17766	1667	3350	3
54176	328717	25945	123	1026	-176	19895	3668	3384	3
54219	328717	25944	176	1207	-81	18385	5057	2721	3
54263	328717	25945	144	1094	-903	17199	5746	1973	3
54306	328717	25946	155	1199	-866	15873	5961	1002	3
54349	328717	25947	135	1116	-1032	14272	5670	293	3
54392	328717	25946	116	996	-1198	12168	5192	-581	3
54436	328717	25946	127	1124	-1273	7401	4522	-1039	3
54479	328717	25946	119	1235	-1284	-606	4058	-1244	3
54522	328717	25946	96	1399	-1177	-8132	3754	-1193	3
54566	328717	25948	115	1513	-918	-15494	3728	-656	3
54609	328717	25947	108	1571	-874	-21672	3522	408	3
54652	328717	25945	71	1553	-235	-24526	3259	1860	3
54696	328717	25944	110	1155	113	-25187	3157	3480	3
54739	328717	25944	110	1208	-77	-23771	1445	4698	3
54782	328717	25944	118	764	457	-19629	-127	4822	3
54825	328717	25943	148	534	628	-15964	-1688	4830	3
54869	328717	25943	146	100	836	-17808	-3203	4369	3
54912	328717	25941	222	-49	733	-24783	-5045	3416	3
54955	328717	25941	239	-293	475	-30999	-6816	1340	3
54999	328717	25944	338	-342	347	-29783	-7313	-1631	3
55042	328717	25944	383	-497	-72	-32319	-6605	-4491	3
55085	328717	25945	402	-504	-487	-27561	-4657	-6712	3
55129	328717	25946	409	-392	-473	-27464	-1683	-7793	3
55172	328717	25947	402	-110	-553	-21660	863	-7858	3
55215	328717	25947	399	-12	-498	-22234	2923	-7234	3
55258	328717	25946	385	-2	-423	-19410	4458	-5830	3
55302	328717	25948	338	90	-361	-17708	5284	-3989	3
55345	328717	25947	287	144	-251	-17038	5264	-2061	3
55388	328717	25948	263	171	-102	-16385	4561	-389	3
55432	328717	25946	217	132	17	-16504	3227	789	3
55475	328717	25947	212	70	71	-17416	1657	1250	3
55518	328717	25946	231	-19	107	-16539	84	974	3
55562	328717	25948	213	-39	79	-15487	-1298	407	3
55605	328717	25946	264	-121	-10	-16855	-2540	-77	3
55648	328717	25947	290	-127	-144	-15278	-3335	-835	3
55691	328717	25948	317	-150	-286	-11978	-3574	-1729	3
55735	328717	25948	313	-107	-381	-9657	-3352	-2355	3
55778	328717	25948	327	-31	-476	-8973	-2936	-2726	3
55821	328717	25947	323	45	-502	-9237	-2349	-2839	3
55865	328717	25946	334	118	-495	-7712	-1681	-2512	3
55908	328717	25946	317	173	-574	-4523	-1170	-1826	3
55951	328717	25948	332	195	-544	-312	-724	-861	3
55995	328717	25948	319	220	-620	4182	-435	178	3
56038	328717	25948	336	208	-600	7938	43	1176	3
56081	328717	25948	357	165	-648	9208	604	1776	3
56124	328717	25950	370	119	-672	8225	1206	2009	3
56168	328717	25948	368	77	-649	4797	1674	1933	3
56211	328717	25948	385	21	-601	-171	1841	1659	3
56254	328717	25948	377	-25	-549	-4301	1788	1416	3
56298	328717	25950	365	-70	-523	-6330	1649	1242	3
56341	328717	25947	273	-70	-495	-7213	1417	1026	3
56384	328717	25948	-232	-81	-447	-7610	1053	665	3
56428	328717	25946	-327	-4434	-3389	-32768	-32768	-28151	6
56471	328717	25944	4415	13362	-1674	-32768	-5686	-32768	0
56514	328717	25948	14591	-11672	-15271	-32768	-19063	-32768	1
56557	328717	25942	23515	1224	-19832	32767	-32768	22441	1
56601	328717	25938	-9034	9413	8111	32767	32767	-32768	2
56644	328717	25934	-2963	-4954	-32768	32767	-32768	-32768	2
56687	328717	25932	-18245	-10912	-10196	-32768	32767	-32768	2
56731	328717	25936	-32768	18935	-32768	32767	-32768	-32768	2
56774	328717	25917	-32768	-10179	-16321	32767	32767	-32768	2
56817	328717	25936	-10479	8327	-1574	32767	-32768	32767	2
56861	328717	25928	-12822	7509	-18918	-32768	32767	32767	2
56904	328717	25924	-18389	-8782	-27081	-32768	-32768	32767	2
56947	328717	25918	3885	5919	-3654	-32768	-32768	-32768	2
56990	328717	25929	-1117	5383	11196	-32768	-26055	17777	2
57034	328717	25928	-1711	-2524	-4240	-32768	-5405	-32768	2
57077	328717	25921	-2273	1057	-4060	32767	21010	-32768	2
57120	328717	25908	-565	1450	-3886	32767	-29315	-32768	2
57164	328717	25907	2258	-2680	-4397	32767	-17643	20728	2
57207	328717	25909	4895	3830	-1616	32767	-16553	32767	2
57250	328717	25887	2728	-2086	1384	32767	32767	-18357	2
57294	328717	25887	1196	5480	1563	31467	-30327	19437	2
