t	p	T	az	ay	ax	gz	gy	gx	fs
190154	303471	28943	23	-2	-6	-7913	706	-878	3
190186	303450	28942	20	-1	-1	-7743	893	-922	3
190218	303462	28943	22	4	0	-7422	1105	-866	3
190249	303452	28942	23	7	5	-7237	1181	-856	3
190281	303441	28940	20	7	0	-6905	1283	-794	3
190312	303423	28940	25	8	7	-6722	1267	-676	3
190344	303433	28941	20	-4	2	-6608	1313	-387	3
190376	303416	28940	15	5	-2	-6314	1214	-357	3
190407	303422	28942	12	0	2	-6223	1147	-216	3
190439	303422	28943	15	2	2	-6401	1055	-4	3
190471	303409	28942	15	4	4	-6234	952	225	3
190502	303404	28942	13	1	-7	-6088	808	165	3
190534	303409	28942	14	6	5	-5691	723	216	3
190565	303396	28940	20	10	8	-5881	636	294	3
190597	303397	28942	15	8	-1	-6148	488	205	3
190629	303398	28944	11	6	-6	-5800	564	436	3
190660	303388	28943	13	7	2	-5567	582	615	3
190692	303383	28939	16	8	-1	-5499	512	533	3
190724	303371	28940	15	8	5	-5114	547	538	3
190755	303379	28942	4	5	-4	-4810	528	655	3
190787	303378	28938	17	6	5	-4604	565	698	3
190818	303377	28942	12	2	-2	-4467	564	791	3
190850	303373	28940	7	-4	-1	-4533	510	977	3
190882	303374	28942	2	6	-5	-4270	588	930	3
190913	303371	28942	12	5	-3	-4263	463	897	3
190945	303365	28942	12	7	-6	-4050	626	1043	3
190977	303378	28942	8	14	0	-3933	597	1050	3
191008	303377	28943	15	6	-5	-3843	646	1180	3
191040	303376	28943	17	4	4	-3628	676	1228	3
191071	303372	28942	10	10	-5	-3540	654	1352	3
191103	303388	28943	13	12	-9	-3506	661	1451	3
191135	303390	28942	17	12	2	-3498	654	1486	3
191166	303384	28943	5	12	-4	-3520	561	1335	3
191198	303375	28943	16	14	-7	-3698	643	1694	3
191230	303379	28942	12	21	-17	-3664	704	1844	3
191261	303390	28941	21	16	2	-3672	616	1901	3
191293	303397	28943	23	17	-3	-3920	644	2135	3
191324	303393	28942	13	16	-7	-4107	594	2217	3
191356	303401	28944	14	20	-11	-4315	497	2389	3
191388	303399	28944	20	33	-2	-4294	496	2596	3
191419	303405	28943	17	31	-10	-4202	400	2863	3
191451	303404	28944	15	40	-1	-3944	410	3047	3
191483	303411	28943	23	36	-3	-3550	455	3346	3
191514	303418	28944	13	46	-2	-3177	295	3479	4
191546	303431	28944	26	52	-4	-2551	261	3739	4
191577	303426	28943	29	54	0	-2492	217	4023	5
191609	303426	28944	29	58	-10	-2340	115	4398	5
191641	303435	28944	33	69	5	-2196	11	4718	5
191672	303444	28942	31	84	1	-2156	-37	4983	5
191704	303448	28943	39	79	10	-1871	-93	5394	5
191736	303438	28942	41	101	5	-2086	-196	5621	5
191810	303455	28940	50	130	33	-2768	-611	6589	5
191842	303456	28941	63	123	45	-2091	-924	6820	5
191873	303465	28942	63	143	35	-1562	-1051	7194	5
191905	303475	28942	60	162	-22	-1032	-1106	7215	5
191937	303478	28941	65	175	7	1248	-1151	7679	5
191968	303486	28942	75	165	30	3352	-1076	7951	5
192000	303482	28942	83	164	58	5313	-869	8017	5
192032	303511	28941	81	176	-20	7421	46	8289	5
192063	303500	28943	81	180	-4	8294	443	8230	5
192095	303500	28942	75	187	-20	6903	1233	8355	5
192126	303493	28942	87	194	-29	4967	1574	8199	5
192158	303520	28942	68	189	-67	2017	1651	8163	5
192190	303523	28943	82	211	1	-2473	1537	8371	5
192221	303528	28942	80	169	-31	-5643	1174	8497	5
192253	303535	28940	87	165	-13	-8653	126	8617	5
192285	303542	28943	83	157	-22	-9403	-608	8715	5
192316	303554	28942	85	133	0	-9369	-1646	8640	5
192348	303560	28943	101	114	16	-9021	-2844	8564	5
192379	303588	28940	108	81	9	-7049	-3611	8360	5
192411	303594	28942	105	73	4	-5070	-4167	8104	5
